"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184645","occ","","","18095","Diprionomys agrarius","species","45848","Clarendonian","","13.6","10.3","2132"
"184685","occ","","","18097","Cupidinimus","genus","41676","Hemphillian","","10.3","4.9","6209"
"184686","occ","","","18097","Prodipodomys","genus","41689","Hemphillian","","10.3","4.9","6209"
"184736","occ","","","18102","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","781"
"184847","occ","","","18121","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"184848","occ","5559","","18121","Mioheteromys","genus","41684","Barstovian","","15.97","13.6","6294"
"184849","occ","5560","","18121","Harrymyinae","subfamily","322045","Barstovian","","15.97","13.6","6294"
"184914","occ","5584","","18126","Heteromyinae","subfamily","163515","Late Hemphillian","","10.3","4.9","6294"
"184915","occ","","","18126","Prodipodomys","genus","41689","Late Hemphillian","","10.3","4.9","3510"
"184957","occ","","","18130","Perognathus","genus","41688","Clarendonian","","13.6","10.3","3082"
"185013","occ","","","18140","Perognathus dunklei","species","50197","Hemphillian","","10.3","4.9","1842"
"185014","occ","5610","","18140","Prodipodomys kansensis","species","45826","Hemphillian","","10.3","4.9","1839"
"185043","occ","","","18141","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3503"
"185044","occ","5622","","18141","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185046","occ","","","18141","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3503"
"185130","occ","","","18159","Diprionomys agrarius","species","45848","Clarendonian","","13.6","10.3","2132"
"185173","occ","","","18164","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"185174","occ","","","18164","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","3510"
"185175","occ","","","18164","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185211","occ","5671","","18165","Mookomys altifluminis","species","48808","Barstovian","","15.97","13.6","6294"
"185212","occ","","","18165","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","7564"
"185367","occ","","","18192","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185414","occ","5734","","18198","Heteromyinae","subfamily","163515","Hemphillian","","10.3","4.9","6294"
"185463","occ","","","18201","Prodipodomys","genus","41689","Hemphillian","","10.3","4.9","3510"
"185509","occ","","","18206","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"185510","occ","","","18206","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
