Species	Status	min_age	max_age
Heteromyinae	extinct	4.9	10.3
Prodipodomys_idahoensis	extinct	4.9	10.3
Harrymys_canadensis	extinct	13.6	15.97
Perognathus_trojectioansrum	extinct	13.6	15.97
Perognathus_saskatchewanensis	extinct	13.6	15.97
Perognathoides_kleinfelderi	extinct	13.6	15.97
Peridiomys_borealis	extinct	13.6	15.97
Mioheteromys_arcarius	extinct	13.6	15.97
Lignimus_montis	extinct	13.6	15.97
Mookomys_thrinax	extinct	13.6	15.97
Mookomys_formicarum	extinct	13.6	15.97
Peridiomys_halis	extinct	13.6	15.97
Perognathus_ancenensis	extinct	13.6	15.97
Perognathus	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathoides_eurekensis	extinct	13.6	15.97
Diprionomys_parvus	extinct	4.9	10.3
Cupidinimus_magnus	extinct	4.9	10.3
Heteromyidae	extinct	13.6	15.97
Cupidinimus	extinct	10.3	13.6
Perognathus_minutus	extinct	10.3	13.6
Perognathoides_quartus	extinct	10.3	13.6
Cupidinimus_cuyamensis	extinct	10.3	13.6
Cupidinimus	extinct	13.6	15.97
Lignimus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_whitlocki	extinct	13.6	15.97
Mioheteromys_amplissimus	extinct	13.6	15.97
Diprionomys_parvus	extinct	10.3	13.6
Perognathoides_quartus	extinct	10.3	13.6
Cupidinimus_tertius	extinct	10.3	13.6
Heteromyidae	extinct	15.97	20.43
Cupidinimus	extinct	13.6	20.43
Diprionomys_parvus	extinct	4.9	10.3
Perognathus_stevei	extinct	4.9	10.3
Oregonomys_pebblespringsensis	extinct	4.9	10.3
Perognathus_stevei	extinct	4.9	10.3
Oregonomys_pebblespringsensis	extinct	4.9	10.3
Harrymys	extinct	5.333	23.03
Diprionomys_parvus	extinct	4.9	10.3
Cupidinimus_magnus	extinct	4.9	10.3
Oregonomys_sargenti	extinct	4.9	10.3
Dikkomys	extinct	5.333	23.03
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_whitlocki	extinct	13.6	15.97
Mioheteromys_amplissimus	extinct	13.6	15.97
Cupidinimus	extinct	5.333	23.03
Lignimus	extinct	5.333	23.03
Peridiomys_oregonensis	extinct	13.6	15.97
Heteromyidae	extinct	13.6	15.97
Peridiomys_oregonensis	extinct	13.6	15.97
Heteromyidae	extinct	5.333	23.03
Peridiomys_oregonensis	extinct	13.6	15.97
Schizodontomys_harkseni	extinct	15.97	20.43
Harrymys_irvini	extinct	15.97	20.43
Schizodontomys_harkseni	extinct	15.97	20.43
Harrymys_irvini	extinct	15.97	20.43
Schizodontomys_harkseni	extinct	15.97	20.43
Harrymys_irvini	extinct	15.97	20.43
Harrymys_woodi	extinct	15.97	20.43
Harrymys_irvini	extinct	15.97	20.43
Harrymys_woodi	extinct	15.97	20.43
Harrymys_irvini	extinct	15.97	20.43
Oregonomys_pebblespringsensis	extinct	4.9	10.3
Cupidinimus	extinct	13.6	15.97
Diprionomys_parvus	extinct	4.9	10.3
Cupidinimus_magnus	extinct	4.9	10.3
Perognathus_stevei	extinct	4.9	10.3
Oregonomys_pebblespringsensis	extinct	4.9	10.3
