"Oregonomys,"Oregonomys cf. pebblespringsensis",7.6000000000000005,7.6000000000000005
"Perognathus,"Perognathus n. sp. stevei",7.6000000000000005,7.6000000000000005
"Cupidinimus,"Cupidinimus bidahochiensis",7.6000000000000005,7.6000000000000005
"Proheteromys,"Proheteromys fedti",25.615000000000002,28.55
"Lignimus,"Lignimus montis",14.785,14.785
"Prodipodomys,"Prodipodomys griggsorum",3.35,3.35
"Dikkomys,"Dikkomys matthewi",18.2,22.615000000000002
"Proheteromys,"Proheteromys n. sp. fedti",28.55,28.55
"Stratimus,"Stratimus n. sp. strobeli",18.2,18.2
"Dipodomys,"Dipodomys n. sp. pattersoni",1.05,1.05
"Perognathus,"Perognathus flavus",0.00585,0.06885
"Perognathus,"Perognathus cf. gidleyi",1.05,1.05
"Schizodontomys,"Schizodontomys amnicolus",18.2,18.2
"Perognathus,"Perognathus cf. trojectioansrum",11.95,11.95
"Harrymys,"Harrymys n. sp. canadensis",14.785,14.785
