"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"190901","occ","","","19116","Perognathus n. sp. stevei","species","50226","","Perognathus stevei","species","50226","Hemphillian","","10.3","4.9","2411"
"190902","occ","","","19116","Oregonomys pebblespringsensis","species","49377","","Oregonomys pebblespringsensis","species","49377","Hemphillian","","10.3","4.9","2411"
"190952","occ","7636","","19139","Heliscomys subtilis","species","46831","recombined as","Mookomys subtilis","species","48812","Barstovian","","15.97","13.6","6294"
"190953","occ","","","19139","Proheteromys sulculus","species","50785","","Proheteromys sulculus","species","50785","Barstovian","","15.97","13.6","2881"
"190954","occ","","","19139","Cupidinimus boronensis","species","45387","","Cupidinimus boronensis","species","45387","Barstovian","","15.97","13.6","2881"
"190962","occ","","","19141","Proheteromys sulculus","species","50785","","Proheteromys sulculus","species","50785","Barstovian","","15.97","13.6","2881"
"190963","occ","","","19141","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2881"
"190964","occ","","","19141","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2881"
"190965","occ","","","19141","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2881"
"190966","occ","","","19141","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","2881"
"190967","occ","7641","","19141","Balantiomys cf. oregonensis","species","44426","recombined as","Peridiomys oregonensis","species","45852","Barstovian","","15.97","13.6","6294"
"190969","occ","","","19141","Diprionomys cf. parvus","species","45853","","Diprionomys parvus","species","45853","Barstovian","","15.97","13.6","2881"
"190986","occ","","","19145","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3628"
"190988","occ","7647","","19145","Cupidinimus avawatzensis","species","45385","","Cupidinimus avawatzensis","species","45385","Clarendonian","","13.6","10.3","1018"
"191043","occ","7672","","19170","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191050","occ","","","19173","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191051","occ","","","19173","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191052","occ","7674","","19173","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191055","occ","7676","","19174","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191056","occ","7677","","19174","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191075","occ","","","19181","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Clarendonian","","13.6","10.3","2012"
"191076","occ","","","19181","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","2012"
"191088","occ","7689","","19184","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191137","occ","7709","","19193","Proheteromys cf. formicarum","species","50774","recombined as","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","6294"
"191138","occ","","","19193","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191139","occ","","","19193","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191140","occ","7710","","19193","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191141","occ","7711","","19193","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191149","occ","","","19194","Trogomys cf. rupinimenthae","species","52523","","Trogomys rupinimenthae","species","52523","Hemingfordian","","20.43","15.97","3625"
"191150","occ","","","19194","Cupidinimus n. sp. boronensis","species","45387","","Cupidinimus boronensis","species","45387","Hemingfordian","","20.43","15.97","3625"
"191310","occ","","","19271","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191311","occ","","","19271","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191312","occ","7766","","19271","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191313","occ","7767","","19271","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191349","occ","7782","","19279","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191350","occ","7783","","19279","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191361","occ","7787","","19280","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191362","occ","7788","","19280","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191372","occ","","","19281","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191373","occ","","","19281","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191374","occ","7792","","19281","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191375","occ","7793","","19281","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191379","occ","7795","","19282","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191380","occ","7796","","19283","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191381","occ","7797","","19284","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191453","occ","7828","","19304","Proheteromys cf. formicarum","species","50774","recombined as","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","6294"
"191454","occ","","","19304","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191455","occ","7829","","19304","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191456","occ","7830","","19304","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191465","occ","7835","","19305","Proheteromys formicarum","species","50774","recombined as","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","2247"
"191467","occ","","","19305","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2247"
"191468","occ","","","19305","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","2246"
"191477","occ","","","19309","Perognathus cf. furlongi","species","50203","","Perognathus furlongi","species","50203","Miocene","","23.03","5.333","2880"
"191478","occ","","","19309","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Miocene","","23.03","5.333","2880"
"191491","occ","","","19313","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2881"
"191492","occ","","","19313","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2881"
"191494","occ","","","19313","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2881"
"191529","occ","","","19321","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2247"
"191530","occ","7855","","19321","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191531","occ","","","19321","Cupidinimus eurekensis","species","45389","recombined as","Perognathoides eurekensis","species","50180","Barstovian","","15.97","13.6","2247"
"191535","occ","","","19322","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191554","occ","","","19323","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191571","occ","","","19324","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191613","occ","7885","","19343","Proheteromys cf. formicarum","species","50774","recombined as","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","6294"
"191614","occ","","","19343","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191615","occ","7886","","19343","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191616","occ","7887","","19343","Cupidinimus eurekensis","species","45389","recombined as","Perognathoides eurekensis","species","50180","Barstovian","","15.97","13.6","6294"
"191680","occ","","","19361","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Clarendonian","","13.6","10.3","2012"
"191689","occ","7911","","19363","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191720","occ","","","19369","Perognathus cf. furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2880"
"191721","occ","","","19369","Perognathus cf. minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2880"
"191722","occ","","","19369","Proheteromys sulculus","species","50785","","Proheteromys sulculus","species","50785","Barstovian","","15.97","13.6","2880"
"191768","occ","","","19383","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191769","occ","","","19383","Cupidinimus tertius","species","45401","","Cupidinimus tertius","species","45856","Clarendonian","","13.6","10.3","3627"
"191781","occ","","","19384","Cupidinimus tertius","species","45401","","Cupidinimus tertius","species","45856","Clarendonian","","13.6","10.3","3627"
"191785","occ","","","19384","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191786","occ","","","19384","Cupidinimus avawatzensis","species","45385","","Cupidinimus avawatzensis","species","45385","Clarendonian","","13.6","10.3","3627"
"191829","occ","","","19392","Proheteromys maximus","species","50781","","Proheteromys maximus","species","50781","Barstovian","","15.97","13.6","2012"
"191830","occ","","","19392","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2012"
"191897","occ","","","19416","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191898","occ","","","19416","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191899","occ","7982","","19416","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191900","occ","7983","","19416","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191932","occ","","","19423","Cupidinimus eurekensis","species","45389","recombined as","Perognathoides eurekensis","species","50180","Barstovian","","15.97","13.6","2247"
"191953","occ","8003","","19430","Heliscomys subtilis","species","46831","recombined as","Mookomys subtilis","species","48812","Barstovian","","15.97","13.6","6294"
"191954","occ","","","19430","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191955","occ","","","19430","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191956","occ","8004","","19430","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191957","occ","8005","","19430","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192289","occ","","","19514","Perognathus mclaughlini","species","50214","","Perognathus mclaughlini","species","50214","Late Hemphillian","","10.3","4.9","2005"
"192290","occ","","","19514","Perognathus henryredfieldi","species","50206","","Perognathus henryredfieldi","species","50206","Late Hemphillian","","10.3","4.9","2005"
"192291","occ","","","19514","Prodipodomys kansensis","species","50760","","Prodipodomys kansensis","species","45826","Late Hemphillian","","10.3","4.9","2005"
"192339","occ","","","19517","Cupidinimus tertius","species","45401","","Cupidinimus tertius","species","45856","Clarendonian","","13.6","10.3","3627"
"192340","occ","","","19517","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Clarendonian","","13.6","10.3","3626"
"192341","occ","8166","","19517","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","6294"
"192377","occ","","","19522","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"192378","occ","","","19522","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"192379","occ","8183","","19522","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192380","occ","8184","","19522","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192394","occ","","","19523","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"192395","occ","8188","","19523","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192396","occ","8189","","19523","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192401","occ","","","19524","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"192405","occ","8193","","19526","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192407","occ","8195","","19527","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192447","occ","","","19535","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2135"
"192496","occ","","","19536","Proheteromys sulculus","species","50785","","Proheteromys sulculus","species","50785","Miocene","","23.03","5.333","2880"
"192523","occ","","","19541","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Clarendonian","","13.6","10.3","2012"
"192544","occ","","","19547","Cupidinimus cf. kleinfelderi","species","45391","recombined as","Perognathoides kleinfelderi","species","50182","Early Barstovian","","15.97","13.6","2135"
"192585","occ","","","19549","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2247"
"192597","occ","","","19550","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"192598","occ","","","19550","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"192599","occ","8254","","19550","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192600","occ","8255","","19550","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192638","occ","","","19557","Perognathus minutus","species","50216","","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"192639","occ","","","19557","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"192640","occ","8269","","19557","Cupidinimus n. sp. lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","6294"
"192641","occ","8270","","19557","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192656","occ","8274","","19558","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192657","occ","8275","","19558","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192661","occ","8276","","19560","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192662","occ","8277","","19560","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192664","occ","8278","","19561","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192668","occ","","","19564","Perognathus cf. minutus","species","50216","","Perognathus minutus","species","50216","Miocene","","23.03","5.333","2880"
"192669","occ","","","19564","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Miocene","","23.03","5.333","2880"
"192670","occ","","","19564","Cupidinimus cf. halli","species","45390","","Cupidinimus halli","species","50181","Miocene","","23.03","5.333","2880"
"192706","occ","","","19577","Proheteromys maximus","species","50781","","Proheteromys maximus","species","50781","Miocene","","23.03","5.333","2880"
"192714","occ","","","19579","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Miocene","","23.03","5.333","2880"
"192715","occ","","","19579","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Miocene","","23.03","5.333","2880"
"192739","occ","8295","","19585","Proheteromys formicarum","species","50774","recombined as","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","2247"
"192740","occ","","","19585","Cupidinimus lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2247"
"192741","occ","","","19585","Cupidinimus halli","species","45390","","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","2246"
"192746","occ","","","19586","Proheteromys sulculus","species","50785","","Proheteromys sulculus","species","50785","Miocene","","23.03","5.333","3759"
"192795","occ","","","19599","Proheteromys sulculus","species","50785","","Proheteromys sulculus","species","50785","Hemingfordian","","20.43","15.97","2244"
"192796","occ","8326","","19599","Harrymys magnus","species","46813","","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","2244"
"192846","occ","8348","","19605","Proheteromys formicarum","species","50774","recombined as","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","2247"
"192863","occ","8357","","19610","Cupidinimus bidahochiensis","species","45386","","Cupidinimus bidahochiensis","species","50178","Late Hemphillian","","10.3","4.9","6294"
"192955","occ","8384","","19620","Perognathus n. sp. strigipredus","species","50227","","Perognathus strigipredus","species","50227","Blancan","","4.9","1.8","1293"
"192956","occ","8385","","19620","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","1293"
"192966","occ","8391","","19621","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","1293"
"192984","occ","","","19624","Prodipodomys minor","species","50762","recombined as","Dipodomys minor","species","45829","Blancan","","4.9","1.8","2040"
"193029","occ","","","19628","Prodipodomys ? minor","species","50762","recombined as","Dipodomys minor","species","45829","Blancan","","4.9","1.8","1603"
"193107","occ","","","19638","Prodipodomys minor","species","50762","recombined as","Dipodomys minor","species","45829","Blancan","","4.9","1.8","2040"
"193123","occ","","","19642","Prodipodomys minor","species","50762","recombined as","Dipodomys minor","species","45829","Blancan","","4.9","1.8","2040"
"193143","occ","","","19646","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","2040"
"193173","occ","","","19650","Perognathus pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1797"
"193174","occ","","","19650","Perognathus gidleyi","species","50204","","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","1797"
"193175","occ","","","19650","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","1797"
"193176","occ","","","19650","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","939"
"193209","occ","","","19652","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","Irvingtonian","4.9","0.3","6199"
"193233","occ","","","19654","Perognathus gidleyi","species","50204","","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","6199"
"193308","occ","","","19658","Perognathus gidleyi","species","50204","","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","6199"
"193309","occ","","","19658","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1584"
"193310","occ","8472","","19658","Prodipodomys gidleyi","species","50756","recombined as","Dipodomys gidleyi","species","45823","Blancan","","4.9","1.8","6199"
"193337","occ","","","19659","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","6199"
"193515","occ","","","19715","Cupidinimus cf. bidahochiensis","species","45386","","Cupidinimus bidahochiensis","species","50178","Blancan","","4.9","1.8","2725"
"193544","occ","","","19719","Cupidinimus cf. bidahochiensis","species","45386","","Cupidinimus bidahochiensis","species","50178","Blancan","","4.9","1.8","2725"
"193582","occ","","","19728","Prodipodomys timoteoensis","species","50766","","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193584","occ","","","19729","Prodipodomys timoteoensis","species","50766","","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193586","occ","","","19730","Prodipodomys timoteoensis","species","50766","","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193587","occ","","","19730","Prodipodomys n. sp. riversidensis","species","50764","","Prodipodomys riversidensis","species","50764","Blancan","","4.9","1.8","939"
"193591","occ","","","19732","Prodipodomys timoteoensis","species","50766","","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193592","occ","","","19732","Prodipodomys riversidensis","species","50764","","Prodipodomys riversidensis","species","50764","Blancan","","4.9","1.8","939"
"193602","occ","","","19736","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","938"
"193603","occ","","","19736","Prodipodomys timoteoensis","species","50766","","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193643","occ","","","19740","Prodipodomys n. sp. timoteoensis","species","50766","","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193656","occ","","","19744","Prodipodomys centralis","species","50754","","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","1766"
"193931","occ","8628","","19815","Oregonomys magnus","species","49376","","Oregonomys magnus","species","50212","Blancan","","4.9","1.8","6294"
"193932","occ","","","19815","Perognathus n. sp. maldei","species","50213","","Perognathus maldei","species","50213","Blancan","","4.9","1.8","3787"
"194000","occ","","","19846","Perognathus maldei","species","50213","","Perognathus maldei","species","50213","Blancan","","4.9","1.8","3787"
"194008","occ","","","19852","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","3787"
"194084","occ","","","19903","Perognathus maldei","species","50213","","Perognathus maldei","species","50213","Blancan","","4.9","1.8","3787"
"194085","occ","","","19903","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","3787"
"194098","occ","","","19905","Prodipodomys n. sp. idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","1885"
"194106","occ","","","19906","Perognathus maldei","species","50213","","Perognathus maldei","species","50213","Blancan","","4.9","1.8","3787"
"194107","occ","","","19906","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","3787"
"194224","occ","","","19922","Perognathus n. sp. mclaughlini","species","50214","","Perognathus mclaughlini","species","50214","Blancan","","4.9","1.8","1889"
"194225","occ","","","19922","Prodipodomys griggsorum","species","50757","","Prodipodomys griggsorum","species","50757","Blancan","","4.9","1.8","3788"
"194226","occ","","","19922","Prodipodomys cf. coquorum","species","50755","recombined as","Perognathus coquorum","species","50195","Blancan","","4.9","1.8","2126"
"194261","occ","","","19927","Perognathus n. sp. pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1894"
"194262","occ","","","19927","Perognathus gidleyi","species","50204","","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","1894"
"194263","occ","8759","","19927","Prodipodomys tiheni","species","50765","","Prodipodomys tiheni","species","46344","Blancan","","4.9","1.8","6294"
"194264","occ","","","19927","Dipodomys n. sp. hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","3791"
"194329","occ","","","19931","Perognathus pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1860"
"194330","occ","","","19931","Perognathus n. sp. rexroadensis","species","50222","","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","1860"
"194427","occ","","","19936","Perognathus gidleyi","species","50204","","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","1894"
"194428","occ","8816","","19936","Prodipodomys centralis","species","50754","","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","6294"
"194456","occ","","","19938","Perognathus cf. pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1876"
"194474","occ","8829","","19940","Prodipodomys centralis","species","50754","","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","6294"
"194514","occ","","","19942","Perognathus pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1460"
"194537","occ","","","19943","Perognathus pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1460"
"194942","occ","8943","","20017","Prodipodomys gidleyi","species","50756","recombined as","Dipodomys gidleyi","species","45823","Blancan","","4.9","1.8","6294"
"194943","occ","","","20017","Oregonomys cf. sargenti","species","49378","","Oregonomys sargenti","species","50223","Blancan","","4.9","1.8","2886"
"194978","occ","","","20023","Perognathus cf. rexroadensis","species","50222","","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","1309"
"194979","occ","","","20023","Perognathus cf. pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1309"
"194980","occ","","","20023","Prodipodomys centralis","species","50754","","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","1309"
"195021","occ","","","20030","Perognathus cf. rexroadensis","species","50222","","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","1309"
"195022","occ","","","20030","Perognathus cf. pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1309"
"195023","occ","","","20030","Prodipodomys centralis","species","50754","","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","1309"
"195044","occ","","","20032","Perognathus cf. rexroadensis","species","50222","","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","1309"
"195045","occ","","","20032","Perognathus cf. pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1309"
"195200","occ","","","20060","Perognathus n. sp. carpenteri","species","50194","","Perognathus carpenteri","species","50194","Blancan","","4.9","1.8","6330"
"195201","occ","","","20060","Perognathus cf. rexroadensis","species","50222","","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","6330"
"195202","occ","","","20060","Perognathus pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","6330"
"195203","occ","","","20060","Prodipodomys centralis","species","50754","","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","6330"
"195435","occ","","","20098","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195436","occ","","","20098","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195470","occ","","","20104","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195509","occ","","","20107","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195516","occ","","","20108","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195517","occ","","","20108","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
